,playerId,season,name,team,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,sv_pct,next_sv_pct
31,8471227,2013,Devan Dubnyk,NSH,34,108097.0,80.88,103.0,1774.0,62.62,72.0,210.3,211.0,908.49,945.0,25.41,26.0,512.78,431.0,376.93,481.0,78.54,1011.0,245.0,62.0,31.09,28.83,20.95,40.0,42.0,21.0,456.0,0.891005291005291,0.9292307692307692
461,8475663,2013,Eddie Lack,VAN,41,139132.0,90.5,93.0,2067.0,73.8,57.0,251.68,289.0,1078.37,1052.0,36.61,41.0,607.5,455.0,441.56,556.0,87.78,1148.0,281.0,72.0,32.98,34.57,22.96,31.0,32.0,30.0,566.0,0.9115969581749049,0.9208992506244796
391,8475883,2013,Frederik Andersen,ANA,28,94166.0,66.72,60.0,1498.0,54.06,50.0,179.44,200.0,787.82,783.0,26.08,28.0,449.36,376.0,331.53,397.0,65.04,870.0,182.0,55.0,24.65,22.24,19.83,12.0,23.0,25.0,391.0,0.9233716475095786,0.9143454038997214
216,8468685,2013,Henrik Lundqvist,NYR,63,217819.0,158.25,144.0,3331.0,120.2,129.0,404.3,395.0,1779.18,1809.0,62.27,66.0,987.38,791.0,740.86,946.0,152.11,1875.0,439.0,155.0,52.92,54.72,50.61,50.0,49.0,45.0,862.0,0.9203980099502488,0.9224981188863808
406,8473503,2013,James Reimer,TOR,36,107079.0,98.59,98.0,2069.0,75.26,72.0,270.04,271.0,1127.93,1095.0,25.97,19.0,632.6,592.0,464.73,506.0,93.71,1201.0,289.0,90.0,32.96,35.62,30.0,40.0,31.0,27.0,489.0,0.9105022831050228,0.9070929070929071
111,8470860,2013,Jaroslav Halak,WSH,52,176034.0,118.22,110.0,2569.0,95.01,94.0,313.9,317.0,1374.4,1385.0,44.47,43.0,767.04,622.0,560.43,715.0,114.04,1448.0,346.0,105.0,40.62,41.64,35.97,41.0,41.0,28.0,670.0,0.9205776173285198,0.9139270771069934
416,8473523,2013,Jhonas Enroth,BUF,28,94454.0,73.46,74.0,1531.0,57.83,46.0,189.75,183.0,829.03,834.0,21.57,26.0,478.51,358.0,346.46,474.0,70.01,903.0,211.0,59.0,27.31,24.4,21.75,32.0,26.0,16.0,358.0,0.9112709832134293,0.9035904255319149
401,8470657,2013,Jimmy Howard,DET,51,180228.0,126.07,133.0,2577.0,97.77,101.0,325.62,386.0,1418.17,1482.0,47.44,48.0,786.26,593.0,582.3,710.0,122.53,1488.0,361.0,115.0,41.89,44.32,39.87,46.0,39.0,48.0,613.0,0.9102564102564102,0.9103703703703704
181,8473972,2013,Jonas Hiller,ANA,50,174528.0,121.08,120.0,2725.0,99.02,109.0,326.3,302.0,1417.06,1349.0,49.64,60.0,801.85,673.0,599.56,757.0,116.0,1543.0,336.0,117.0,41.93,40.68,38.46,36.0,41.0,43.0,729.0,0.911045218680504,0.9178779069767442
311,8473541,2013,Jonathan Bernier,TOR,55,184714.0,156.26,138.0,3330.0,121.9,94.0,423.74,515.0,1820.57,1787.0,43.69,61.0,1028.99,844.0,764.35,879.0,150.78,1964.0,464.0,129.0,57.45,56.79,42.03,45.0,52.0,41.0,773.0,0.9227756015668719,0.9123919308357349
376,8471734,2013,Jonathan Quick,L.A,49,173685.0,110.18,100.0,2265.0,86.43,89.0,286.92,238.0,1255.25,1183.0,51.51,57.0,693.85,588.0,518.78,671.0,106.56,1312.0,314.0,110.0,35.44,37.14,37.59,24.0,36.0,40.0,529.0,0.915469146238377,0.9177215189873418
1,8470140,2013,Kari Lehtonen,DAL,65,228239.0,180.27,153.0,3571.0,134.69,154.0,439.35,445.0,1926.42,1888.0,65.54,59.0,1068.21,881.0,790.93,977.0,172.85,1985.0,508.0,183.0,57.88,61.85,60.53,55.0,56.0,42.0,895.0,0.9189618644067796,0.9034666666666666
291,8471403,2013,Karri Ramo,CGY,40,131626.0,94.93,97.0,2178.0,76.46,78.0,259.12,239.0,1111.28,1092.0,31.81,26.0,616.06,512.0,458.73,582.0,89.92,1166.0,289.0,87.0,33.75,34.96,26.22,35.0,31.0,31.0,636.0,0.9111721611721612,0.9119718309859155
481,8470594,2013,Marc-Andre Fleury,PIT,64,227245.0,145.9,150.0,3436.0,123.44,142.0,416.02,340.0,1799.48,1774.0,57.86,83.0,1020.13,843.0,754.74,952.0,141.19,1962.0,442.0,115.0,54.6,52.79,38.52,55.0,56.0,39.0,917.0,0.915445321307779,0.9202621518296012
